id,front,nmaterials,minPoint,maxPoint,aligned.dims,index,variantIds,isCornerPiece,setIds,componentIds
766,"0,0,1",4,"-0.35, 0.0, -0.075","0.35, 1.4, 0.10000001","70.0, 140.0, 17.5",641,,,,
767,"0,0,1",4,"-0.7, 0.0, -0.0575001","0.7, 1.4, 0.1","140.0, 140.0, 15.75001",642,,,,
768,"0,0,1",3,"-0.530226, 0.0, -0.65999806","0.530226, 2.18, 0.06999999","106.0452, 218.0, 72.9998",643,"768,768_0",,,
768_0,"0,0,1",3,"-0.530226, 0.0, -0.090321496","0.530226, 2.18, 0.0905499","106.0452, 218.0, 18.08714",643,"768,768_0",,,
768_2,"0,0,1",1,"-0.530226, 0.0, -0.0700198","0.530226, 2.18, 0.07000001","106.0452, 218.0, 14.00198",643,"768,768_0,768_2",,,
769,"0,0,1",3,"-0.530016, 0.0, -0.664253","0.530016, 2.18024, 0.07574558","106.003204, 218.02399, 73.99986",644,"769,769_0",,,
769_0,"0,0,1",3,"-0.530016, 0.0, -0.0902933","0.530016, 2.18024, 0.0905842","106.003204, 218.02399, 18.08775",644,"769,769_0",,,
769_2,"0,0,1",1,"-0.530016, 0.0, -0.075745806","0.530016, 2.18024, 0.0757456","106.003204, 218.02399, 15.149139",644,"769,769_0,769_2",,,
77,"0,0,1",4,"-0.915822, -5.9604645E-8, -1.10332","0.901297, 0.972607, 1.1","181.7119, 97.26071, 220.332",645,,,,
770,"0,0,1",3,"-0.530226, 0.0, -0.65999997","0.530226, 2.18, 0.06999999","106.0452, 218.0, 73.0",646,"770,770_0",,,
770_0,"0,0,1",3,"-0.530226, 0.0, -0.0907177","0.530226, 2.18, 0.09018159","106.0452, 218.0, 18.089931",646,"770,770_0",,,
770_2,"0,0,1",1,"-0.530226, 0.0, -0.0700198","0.530226, 2.18, 0.07000001","106.0452, 218.0, 14.00198",646,"770,770_0,770_2",,,
771,"0,0,1",4,"-1.6, 0.0, -0.070002556","1.6, 2.6, 2.8145","320.0, 260.0, 288.45026",647,"771,771_0",,,
771_0,"0,0,1",4,"-1.6, -1.1110306E-4, -0.070002556","1.6, 2.6, 2.8145","320.0, 260.0111, 288.45026",647,"771,771_0",,,
773,"0,0,1",3,"-1.5, 0.0, -0.45","1.4997301, 2.7, 0.45","299.973, 270.0, 90.0",648,,,,
775,"0,0,1",1,"-1.5, 0.0, -0.0500001","1.5, 2.0015, 0.049999997","300.0, 200.15, 10.00001",649,,,,
776,"0,0,1",1,"-1.45, 0.0, -0.0500001","1.45, 2.0015, 0.049999997","290.0, 200.15, 10.00001",650,,,,
777,"0,0,1",1,"-1.45, 0.0, -0.0500001","1.45, 2.0015, 0.049999997","290.0, 200.15, 10.00001",651,,,,
778,"0,0,1",1,"-0.60000503, 0.0, -0.0755544","0.600006, 2.5, 0.0755543","120.0011, 250.0, 15.110869",652,"778,778_0",,,
778_0,"0,0,1",1,"-0.60000503, 0.0, -0.0755544","0.600006, 2.5, 0.0755543","120.0011, 250.0, 15.110869",652,"778,778_0",,,
779,"0,0,1",1,"-0.68, 0.0, -0.0700001","0.68, 2.58, 0.0699999","136.0, 258.0, 14.0",653,"779,779_0",,,
779_0,"0,0,1",1,"-0.68, 0.0, -0.0700001","0.68, 2.58, 0.0699999","136.0, 258.0, 14.0",653,"779,779_0",,,
78,"0,0,1",3,"-0.55, -5.9604645E-8, -1.045","0.55, 0.771659, 1.045","110.0, 77.16591, 208.99998",654,,,,
780,"0,0,1",2,"-1.58, 0.0, -0.125","1.58, 2.7, 0.125","316.0, 270.0, 25.0",655,"780,780_0",,,
780_0,"0,0,1",2,"-1.58, 0.0, -0.125","1.58, 2.7, 0.125","316.0, 270.0, 25.0",655,"780,780_0",,,
781,"0,0,1",2,"-0.5, 0.0, -0.015","0.5, 1.0, 0.015","100.0, 100.0, 3.0",656,,,,
782,"0,0,1",3,"-1.41, 0.0, -1.26","1.41, 1.87759, 1.26","282.0, 187.759, 252.0",657,,,,
783,"0,0,1",2,"-0.76, 0.0, -0.9150001","0.76, 1.87759, 0.9150001","152.0, 187.75899, 183.0",658,,,,
784,"0,0,1",1,"-2.14, 1.1920929E-7, -0.95","2.14, 1.0, 0.95","428.00003, 99.99999, 190.0",659,,,,
785,"0,0,1",1,"-0.75, 0.0, -0.71","0.75, 1.0, 0.71","150.0, 100.0, 142.0",660,,,,
786,"0,0,1",6,"-0.79101, -0.11170411, -0.79101","0.79101, 2.44813, 0.791011","158.20201, 255.98338, 158.2021",661,,,,
79,"0,0,1",2,"-0.4, 0.0028645098, -0.3","0.4, 0.33271, 0.3","80.0, 32.98455, 60.000004",662,,,,
797,"0,0,1",4,"-1.075, -2.3841858E-7, -3.0","1.075, 2.17396, 3.0","215.00003, 217.39601, 600.0",663,,,,
80,"0,0,1",5,"-1.025, 7.867813E-6, -0.375","1.025, 0.893436, 0.375","205.0, 89.34282, 75.0",664,,,,
81,"0,0,1",2,"-0.75, 0.0, -0.35","0.75, 0.893436, 0.35","150.0, 89.343605, 70.0",665,,,,
82,"0,0,1",7,"-0.7, 5.9604645E-8, -0.70014405","0.700131, 0.672234, 0.700017","140.01309, 67.22339, 140.01608",666,,,,
83,"0,0,1",3,"-0.176343, 7.016659E-4, -0.356254","0.176343, 0.864485, 0.351145","35.2686, 86.378334, 70.7399",667,,,,
85,"0,0,1",5,"-0.400002, 0.0, -0.315","0.39999998, 0.889942, 0.315","80.0002, 88.9942, 63.0",668,,,,
86,"0,0,1",3,"-0.3, 0.0, -0.3","0.3, 0.781991, 0.30000103","60.000004, 78.1991, 60.000103",669,,,1,
87,"0,0,1",3,"-0.450051, 0.0, -0.238626","0.450051, 0.948046, 0.231969","90.0102, 94.8046, 47.0595",670,,,,
88,"0,0,1",2,"-0.201825, 0.0, -0.201825","0.201825, 1.06099, 0.201825","40.364998, 106.099, 40.364998",671,,,,
89,"0,0,1",2,"-0.23, 0.0, -0.25045997","0.23, 1.09334, 0.260814","46.0, 109.33401, 51.127403",672,,,,
90,"0,0,1",2,"-0.200044, 1.7881393E-5, -0.270065","0.200044, 0.828005, 0.25993496","40.0088, 82.79871, 53.0",673,,,,
91,"0,0,1",3,"-0.270355, -1.40070915E-5, -0.26489997","0.270355, 0.9029, 0.27370703","54.071, 90.291405, 53.8607",674,,,,
92,"0,0,1",3,"-0.400007, 0.0, -0.3","0.400007, 0.781991, 0.30000103","80.0014, 78.1991, 60.000103",675,,,1,
93,"0,0,1",4,"-0.8, 0.0, -0.25000203","0.8, 1.83004, 0.25015104","160.0, 183.004, 50.0153",676,,,,
94,"0,0,1",3,"-0.2, 0.0, -0.3","0.2, 0.781991, 0.30000103","40.0, 78.1991, 60.000103",677,,,1,
95,"0,0,1",1,"-0.25, 0.0, -0.15","0.25, 0.3, 0.15","50.0, 30.000002, 30.000002",678,,,,
97,"0,0,1",3,"-0.565, 0.0017602742, -0.15127501","0.565, 0.369263, 0.22872499","113.0, 36.750275, 38.0",679,,,,
98,"0,0,1",1,"-0.419657, 3.4981966E-4, -0.219495","0.419657, 0.960331, 0.220207","83.9314, 95.99812, 43.9702",680,,,,
99,"0,0,1",3,"-0.597952, 0.0, -0.599225","0.60204804, 0.782, 0.600774","120.0, 78.2, 119.99989",681,,1,1,
s__1000,"0,0,1",2,"-0.205, 0.0, -0.165","0.205, 0.640001, 0.165","41.0, 64.0001, 33.0",682,,,161,
s__1001,"0,0,1",3,"-0.55, 0.0, -0.32","0.55, 2.08, 0.32","110.0, 208.0, 64.0",683,,,,
s__1002,"0,0,1",2,"-0.475, 0.0, -0.245","0.475, 0.82, 0.245","95.0, 82.0, 49.0",684,,,161,
s__1003,"0,0,1",2,"-0.475, 0.0, -0.475","0.475, 0.31, 0.475","95.0, 31.000002, 95.0",685,,,162,
s__1004,"0,0,1",2,"-0.665, -2.3841858E-7, -0.185","0.665, 0.75, 0.185","133.0, 75.00002, 37.0",686,,,162,
s__1005,"0,0,1",2,"-0.285, -2.3841858E-7, -0.2","0.285, 0.6, 0.2","57.0, 60.000027, 40.0",687,,,165,
s__1006,"0,0,1",2,"-0.59, -2.3841858E-7, -0.39","0.59, 0.5, 0.39","117.99999, 50.000023, 78.0",688,,,165,
s__1007,"0,0,1",1,"-0.275, 0.0, -0.275","0.275, 0.5, 0.275","55.0, 50.0, 55.0",689,,,,
s__1008,"0,0,1",1,"-0.38, 0.0, -0.16","0.38, 0.6, 0.16","76.0, 60.000004, 32.0",690,,,163,
s__1009,"0,0,1",1,"-0.59, 0.0, -0.295","0.59, 0.53, 0.295","117.99999, 52.999996, 58.999996",691,,,163,
s__1010,"0,0,1",3,"-0.275, 8.234382E-5, -0.275","0.275, 0.45, 0.275","55.0, 44.991768, 55.0",692,,,164,
s__1011,"0,0,1",1,"-0.275, 0.0, -0.275","0.275, 0.45, 0.275","55.0, 45.0, 55.0",693,,,164,
s__1012,"0,0,1",1,"-0.59, -2.9802322E-8, -0.39","0.59, 0.45, 0.39","117.99999, 45.0, 78.0",694,,,164,
s__1013,"0,0,1",1,"-0.595, -2.9802322E-7, -0.21","0.595, 0.39, 0.21","119.00001, 39.00003, 42.0",695,,,,
s__1014,"0,0,1",2,"-0.349975, 0.0, -0.25","0.329921, 0.468489, 0.25","67.98959, 46.8489, 50.0",696,,,166,
s__1015,"0,0,1",2,"-0.39, -2.9802322E-8, -0.39","0.39, 0.369824, 0.39","78.0, 36.9824, 78.0",697,,,166,
s__1016,"0,0,1",2,"-0.59, -2.9802322E-8, -0.295","0.59, 0.27, 0.295","117.99999, 27.000004, 58.999996",698,,,166,
s__1017,"0,0,1",1,"-0.195, -2.0122528E-4, -0.17","0.195, 0.670571, 0.17","39.0, 67.077225, 34.0",699,,,,
s__1018,"0,0,1",1,"-0.425, 0.0, -0.425","0.425, 0.48, 0.425","85.0, 48.0, 85.0",700,,,,
s__1019,"0,0,1",1,"-0.175, 0.0, -0.175","0.175, 0.3, 0.175","35.0, 30.000002, 35.0",701,,,,
s__1020,"0,0,1",1,"-0.25, 0.0, -0.295","0.25, 0.5, 0.295","50.0, 50.0, 58.999996",702,,,,
s__1021,"0,0,1",1,"-0.25, 0.0, -0.295","0.25, 0.5, 0.295","50.0, 50.0, 58.999996",703,,,,
s__1022,"0,0,1",3,"-0.29, 0.0, -0.22","0.29, 0.819636, 0.22","58.0, 81.9636, 44.0",704,,,167,
s__1023,"0,0,1",1,"-0.38, -5.9604645E-8, -0.25","0.38, 0.5, 0.25","76.0, 50.000008, 50.0",705,,,167,
s__1024,"0,0,1",3,"-0.075, 8.6426735E-7, -0.135","0.075, 0.196746, 0.135","15.000001, 19.674515, 27.000002",706,,,,
s__1025,"0,0,1",4,"-0.14, 5.9604645E-7, -0.14","0.14, 0.560744, 0.14","28.0, 56.07434, 28.0",707,,,,
s__1026,"0,0,1",3,"-0.105, 0.0, -0.105","0.105, 0.31, 0.105","21.0, 31.0, 21.0",708,,,,
s__1027,"0,0,1",6,"-0.18, -2.9802322E-7, -0.18","0.18, 0.55324, 0.18","36.0, 55.324036, 36.0",709,,,,
s__1028,"0,0,1",5,"-0.08, 7.748604E-7, -0.160001","0.08, 0.172472, 0.160001","16.0, 17.247124, 32.0002",710,,,,
s__1029,"0,0,1",7,"-0.3, 0.0, -0.32","0.3, 2.11, 0.32","60.000004, 210.99998, 64.0",711,,,7,
s__1030,"0,0,1",8,"-0.3, 0.0, -0.32","0.3, 2.11, 0.32","60.000004, 210.99998, 64.0",712,,,7,
s__1031,"0,0,1",3,"-0.3, 0.0, -0.32","0.3, 1.41, 0.32","60.000004, 141.0, 64.0",713,,,7,
s__1032,"0,0,1",3,"-0.2, 0.0, -0.32","0.2, 2.11, 0.32","40.0, 210.99998, 64.0",714,,,7,
s__1033,"0,0,1",3,"-0.2, 0.0, -0.32","0.2, 2.33, 0.32","40.0, 233.0, 64.0",715,,,7,
s__1034,"0,0,1",3,"-0.2, 0.0, -0.32","0.2, 2.33, 0.32","40.0, 233.0, 64.0",716,,,7,
s__1035,"0,0,1",7,"-0.3, 0.0, -0.32","0.3, 2.11, 0.32","60.000004, 210.99998, 64.0",717,,,7,
s__1036,"0,0,1",7,"-0.3, 0.0, -0.32","0.3, 1.41, 0.32","60.000004, 141.0, 64.0",718,,,7,
s__1037,"0,0,1",3,"-0.25, 0.0, -0.25","0.25, 0.61, 0.25","50.0, 60.999996, 50.0",719,,,,
s__1038,"0,0,1",5,"-0.3, -0.0019609332, -0.27000004","0.3, 0.859457, 0.27000004","60.000004, 86.14179, 54.0",720,,,,
s__1039,"0,0,1",3,"-0.265, -2.6583672E-5, -0.495","0.265, 0.800065, 0.495","52.999996, 80.00916, 99.0",721,,,,
s__1040,"0,0,1",3,"-0.3, -7.838011E-5, -1.00007","0.3, 0.851643, 1.00007","60.000004, 85.172134, 200.01399",722,,,,
s__1041,"0,0,1",16,"-1.8, -2.3841858E-7, -0.325002","1.8, 2.256, 0.325002","360.0, 225.60004, 65.000404",723,,,,
s__1042,"0,0,1",12,"-1.525, 0.0, -1.2250001","1.525, 2.27484, 1.2250001","305.0, 227.48401, 245.0",724,,,,
s__1043,"0,0,1",10,"-2.1, 0.0, -0.325","2.1, 2.14, 0.318914","420.0, 214.00002, 64.3914",725,,,,
s__1044,"0,0,1",15,"-2.0, 0.0, -0.325","2.0, 2.3, 0.325391","400.0, 230.0, 65.0391",726,,,,
s__1045,"0,0,1",11,"-1.5, 0.0, -0.3","1.5, 2.33762, 0.3","300.0, 233.76201, 60.000004",727,,,,
s__1046,"0,0,1",10,"-1.425, -2.3841858E-7, -1.3500001","1.425, 2.49888, 1.3500001","285.0, 249.888, 270.0",728,,,,
s__1047,"0,0,1",6,"-1.99, 0.0, -0.31500202","1.99, 2.35718, 0.31500196","398.0, 235.71802, 63.0004",729,,,,
s__1048,"0,0,1",10,"-1.95, 0.0, -0.305","1.95, 2.42, 0.30524296","390.0, 242.0, 61.0243",730,,,,
s__1049,"0,0,1",11,"-1.82, -2.3841858E-7, -0.75","1.82, 2.7, 0.75","364.0, 270.0, 150.0",731,,,,
s__1050,"0,0,1",10,"-2.1, 0.0, -0.3","2.1, 2.2413, 0.3","420.0, 224.13, 60.000004",732,,,,
s__1051,"0,0,1",8,"-1.96, -1.1920929E-7, -0.91","1.96, 1.32051, 0.91","392.0, 132.05103, 182.0",733,,1,8,
s__1052,"0,0,1",4,"-0.4, 0.0, -0.270002","0.4, 2.42437, 0.27000296","80.0, 242.43701, 54.0005",734,,,8,
s__1053,"0,0,1",3,"-0.5500001, 1.1920929E-7, -0.270002","0.550001, 0.921351, 0.270002","110.00011, 92.13509, 54.000404",735,,,8,
s__1054,"0,0,1",3,"-0.71, 5.9604645E-8, -0.30499798","0.71, 0.921351, 0.305003","142.0, 92.13509, 61.0001",736,,,8,
s__1055,"0,0,1",5,"-1.72497, -5.6791306E-4, -0.41999996","1.72497, 2.56846, 0.41999996","344.994, 256.9028, 84.0",737,,,8,
s__1056,"0,0,1",6,"-0.699829, 0.0, -0.310002","0.69982994, 2.56846, 0.310002","139.9659, 256.846, 62.000404",738,,,8,
s__1057,"0,0,1",6,"-0.69982994, 0.0, -0.310002","0.699829, 2.56846, 0.310002","139.9659, 256.846, 62.000404",739,,,8,
s__1058,"0,0,1",4,"-0.4, -0.042438388, -0.354998","0.4, 0.898228, 0.354998","80.0, 94.06664, 70.999596",740,,,,
s__1059,"0,0,1",3,"-0.11, 0.0, -0.11","0.11, 0.99949, 0.11","22.0, 99.949005, 22.0",741,,,,
s__1060,"0,0,1",4,"-0.4, 1.8393993E-4, -0.26003098","0.4, 0.743202, 0.26","80.0, 74.3018, 52.0031",742,,,,
s__1061,"0,0,1",1,"-0.515, 0.0, -0.14","0.515, 0.267145, 0.14","103.0, 26.7145, 28.0",743,,,,
s__1062,"0,0,1",1,"-0.209999, 0.0, -0.22","0.21000102, 1.05732, 0.22","42.0, 105.732, 44.0",744,,,,
s__1063,"0,0,1",2,"-0.775, -1.1920929E-7, -0.190002","0.775, 1.17986, 0.190002","155.0, 117.98601, 38.0004",745,,,8,
s__1064,"0,0,1",7,"-0.57, -2.3841858E-7, -0.3","0.57, 2.56156, 0.3","114.0, 256.156, 60.0",746,,,8,
s__1065,"0,0,1",12,"-2.265, -5.681515E-4, -0.40000004","2.265, 2.70038, 0.40000004","453.00003, 270.0948, 80.0",747,,,,
s__1066,"0,0,1",5,"-1.90501, 0.0, -0.365","1.90501, 1.27534, 0.365","381.00198, 127.534, 73.0",748,,,,
s__1067,"0,0,1",2,"-1.20483, -5.9604645E-8, -0.804972","1.20483, 0.831522, 0.804972","240.966, 83.1522, 160.9944",749,,,,
s__1068,"0,0,1",1,"-0.45, 0.0, -0.2","0.45, 1.05301, 0.2","90.0, 105.300995, 40.0",750,,,,
s__1069,"0,0,1",2,"-0.165, -5.9604645E-8, -0.165","0.165, 0.231759, 0.165","33.0, 23.175905, 33.0",751,,,,
s__1070,"0,0,1",3,"-0.0950001, 9.536743E-7, -0.110607","0.095, 1.18278, 0.11939299","19.000011, 118.27791, 23.0",752,,,,
s__1071,"0,0,1",2,"-0.15, -5.9604645E-8, -0.15","0.15, 0.328594, 0.15","30.000002, 32.859406, 30.000002",753,,,,
s__1072,"0,0,1",2,"-0.0888136, -8.940697E-8, -0.101493","0.0811864, 0.17, 0.10850701","17.0, 17.00001, 21.0",754,,,,
s__1073,"0,0,1",1,"-0.5, 0.0, -0.5","0.5, 0.7672, 0.5","100.0, 76.72, 100.0",755,,,,
s__1074,"0,0,1",2,"-0.27, -1.1920929E-7, -0.28","0.27, 0.85972, 0.28","54.000004, 85.972015, 56.0",756,,,,
s__1075,"0,0,1",5,"-1.115, 0.0, -0.575","1.2149999, 1.05, 0.575","233.0, 104.99999, 115.0",757,,,9,
s__1076,"0,0,1",2,"-0.420001, 0.0, -0.165","0.42, 1.042, 0.165","84.0001, 104.200005, 33.0",758,,,9,
s__1077,"0,0,1",6,"-1.0, 0.0, -0.45499998","1.0, 2.39, 0.45478803","200.0, 239.00002, 90.978806",759,,,9,
s__1078,"0,0,1",3,"-0.41999996, 1.1920929E-7, -0.26","0.419999, 0.9, 0.26","83.9999, 89.99999, 52.0",760,,,9,
s__1079,"0,0,1",1,"-0.96, 0.0, -0.475","0.960401, 0.7, 0.474525","192.0401, 70.0, 94.9525",761,,,,
s__1080,"0,0,1",1,"-0.25, -2.002716E-5, -0.27499998","0.25, 0.899927, 0.27501","50.0, 89.9947, 55.001",762,,,,
s__1081,"0,0,1",3,"-0.29, 0.0, -0.28","0.29, 0.590632, 0.28","58.0, 59.0632, 56.0",763,,,,
s__1082,"0,0,1",3,"-0.095, 0.0, -0.08","0.095, 0.889994, 0.08","19.0, 88.999405, 16.0",764,,,,
s__1083,"0,0,1",2,"-0.225, -1.1920929E-7, -0.26","0.225, 1.09042, 0.26","45.0, 109.04201, 52.0",765,,,,
s__1084,"0,0,1",4,"-0.375, 0.0, -0.22","0.375, 0.734, 0.22","75.0, 73.4, 44.0",766,,,9,
s__1085,"0,0,1",2,"-0.45, 0.0, -0.17","0.45, 0.530439, 0.17","90.0, 53.043903, 34.0",767,,,9,
s__1086,"0,0,1",2,"-0.399999, 0.0, -0.17","0.4, 0.87, 0.17","79.9999, 87.0, 34.0",768,,,9,
s__1087,"0,0,1",2,"-2.0, 0.0, -0.11","2.0, 0.290518, 0.11","400.0, 29.051798, 22.0",769,,,,
s__1088,"0,0,1",10,"-1.95, 0.0, -0.39999998","1.95, 1.30584, 0.39999998","390.0, 130.584, 80.0",770,,,9,
s__1089,"0,0,1",4,"-0.880038, 0.0, -0.415","0.880038, 0.90083, 0.415","176.0076, 90.083, 83.0",771,,,,
s__1090,"0,0,1",2,"-2.2, -3.6880374E-7, -1.5","2.2, 0.0099998, 1.5","440.0, 1.0000169, 300.0",772,,,,
s__1091,"0,0,1",4,"-0.685, -1.1920929E-7, -0.195","0.685, 0.853772, 0.195","137.0, 85.37721, 39.0",773,,,,
s__1092,"0,0,1",2,"-0.46, -2.9802322E-8, -0.425","0.46, 0.378131, 0.425","92.0, 37.813103, 85.0",774,,,,
s__1093,"0,0,1",2,"-0.275, 0.0, -0.3","0.275, 0.80044, 0.3","55.0, 80.044, 60.000004",775,,,168,
s__1094,"0,0,1",2,"-0.52, -2.9802322E-8, -0.385","0.52, 0.45681, 0.385","104.0, 45.681, 77.0",776,,,168,
s__1095,"0,0,1",1,"-1.51, 0.0024199486, -0.29","1.51, 2.7022, 0.29","302.0, 269.978, 58.0",777,,,,
s__1096,"0,0,1",1,"-1.17487, 0.0, -0.599771","1.17487, 0.75, 0.59977007","234.974, 75.0, 119.9541",778,,,,
s__1097,"0,0,1",5,"-1.38506, -5.9604645E-8, -1.38493","1.38506, 0.914432, 1.38493","277.012, 91.44321, 276.986",779,,,,
s__1098,"0,0,1",2,"-0.5, 0.0, -0.5","0.5, 0.74, 0.5","100.0, 74.0, 100.0",780,,,,
s__1099,"0,0,1",2,"-0.32, 0.0, -0.32","0.32, 0.635862, 0.32","64.0, 63.5862, 64.0",781,,,,
s__1100,"0,0,1",3,"-0.5, -2.9802322E-8, -0.5","0.5, 0.4, 0.5","100.0, 40.000004, 100.0",782,,,,
s__1101,"0,0,1",3,"-0.24, 0.0, -0.355","0.24, 0.968994, 0.355","48.0, 96.8994, 71.0",783,,,,
s__1102,"0,0,1",4,"-0.1, 0.0, -0.16","0.1, 1.21339, 0.16","20.0, 121.339, 32.0",784,,,,
s__1103,"0,0,1",3,"-0.055, 0.0, -0.0599994","0.055, 0.250346, 0.0599994","11.0, 25.034603, 11.99988",785,,,,
s__1104,"0,0,1",1,"-0.67, -5.9604645E-8, -0.5","0.67, 0.613942, 0.5","134.0, 61.39421, 100.0",786,,,,
s__1105,"0,0,1",2,"-0.7, -1.1920929E-7, -0.28","0.7, 1.41, 0.28","140.0, 141.00002, 56.0",787,,,,
s__1106,"0,0,1",3,"-0.39, -0.032386124, -0.39","0.39, 0.642305, 0.39","78.0, 67.46911, 78.0",788,,,169,
s__1107,"0,0,1",2,"-0.28, 1.1920929E-7, -0.21","0.28, 0.642305, 0.21","56.0, 64.23049, 42.0",789,,,169,
s__1108,"0,0,1",2,"-0.0950001, 0.0, -0.045","0.095, 0.285706, 0.045000196","19.000011, 28.5706, 9.00002",790,,,,
s__1109,"0,0,1",5,"-0.245, 0.0, -0.245","0.245, 0.788019, 0.245","49.0, 78.8019, 49.0",791,,,,
s__1110,"0,0,1",4,"-1.155, -2.3841858E-7, -0.135","1.155, 2.7, 0.135","231.0, 270.00003, 27.000002",792,,,,
s__1111,"0,0,1",2,"-0.7, -1.1920929E-7, -0.28","0.7, 1.41, 0.28","140.0, 141.00002, 56.0",793,,,,
s__1112,"0,0,1",6,"-1.295, 0.0, -0.44","1.295, 0.913924, 0.44","259.0, 91.392395, 88.0",794,,,,
s__1113,"0,0,1",3,"-0.475, -5.9604645E-8, -0.435","0.475, 0.853862, 0.435","95.0, 85.38621, 87.0",795,,,,
s__1114,"0,0,1",3,"-0.1, 0.0, -0.10220401","0.0999999, 0.863598, 0.10182001","19.999989, 86.3598, 20.4024",796,,,,
s__1115,"0,0,1",6,"-0.2, 0.0, -0.2","0.2, 0.777051, 0.2","40.0, 77.70509, 40.0",797,,,,
s__1116,"0,0,1",5,"-0.305, 0.0, -0.305","0.305, 1.63833, 0.305","61.0, 163.833, 61.0",798,,,,
s__1117,"0,0,1",1,"-0.2, -5.9604645E-8, -0.2","0.2, 0.553881, 0.2","40.0, 55.388103, 40.0",799,,,,
s__1118,"0,0,1",1,"-0.7, -2.9802322E-8, -0.75","0.7, 0.447137, 0.75","140.0, 44.713703, 150.0",800,,,,
s__1119,"0,0,1",2,"-1.0, 0.0, -0.4","1.0, 0.9, 0.4","200.0, 90.0, 80.0",801,,,,
s__1120,"0,0,1",1,"-0.8, 0.0, -0.6","0.8, 0.74, 0.6","160.0, 74.0, 120.00001",802,,,,
s__1121,"0,0,1",3,"-0.265, -1.7881393E-7, -0.25","0.265, 0.898426, 0.25","52.999996, 89.84261, 50.0",803,,,,
s__1122,"0,0,1",2,"-0.35, -1.7881393E-7, -0.2","0.35, 0.665275, 0.2","70.0, 66.52751, 40.0",804,,,,
s__1123,"0,0,1",1,"-0.165, 0.0, -0.165","0.165, 0.627274, 0.165","33.0, 62.727398, 33.0",805,,,,
s__1124,"0,0,1",2,"-0.520064, 0.0, -0.19","0.520064, 0.439023, 0.19","104.0128, 43.902298, 38.0",806,,,,
s__1125,"0,0,1",2,"-0.405, 0.0, -0.535053","0.405, 1.16048, 0.535202","81.0, 116.04801, 107.025505",807,,,,
s__1126,"0,0,1",5,"-1.55, 0.0, -0.6","1.55, 0.925295, 0.6","310.0, 92.5295, 120.000015",808,,,,
s__1127,"0,0,1",4,"-1.675, 0.0, -1.32","1.675, 0.963482, 1.32","335.0, 96.348206, 264.0",809,,,,
s__1128,"0,0,1",4,"-0.35, 0.0, -0.35","0.35, 1.21188, 0.35","70.0, 121.187996, 70.0",810,,,,
s__1129,"0,0,1",3,"-0.575, -2.3841858E-7, -0.66","0.575, 0.855545, 0.66","115.0, 85.55452, 132.0",811,,,,
s__1130,"0,0,1",1,"-0.905002, 1.3458729E-4, -0.52","0.90499794, 0.45, 0.52","181.0, 44.98654, 104.0",812,,,,
s__1131,"0,0,1",4,"-0.85, -1.1920929E-7, -0.39","0.85, 0.892122, 0.39","170.0, 89.21221, 78.0",813,,,,
s__1132,"0,0,1",6,"-0.705, 0.0, -0.29499996","0.705, 2.65, 0.29455197","141.0, 265.0, 58.9552",814,,,,
s__1133,"0,0,1",3,"-0.15, 7.355213E-5, -0.15","0.15, 0.486723, 0.15","30.000002, 48.664948, 30.000002",815,,,,
s__1134,"0,0,1",3,"-0.225, 2.3841858E-7, -0.295","0.225, 2.65, 0.294552","45.0, 264.99997, 58.9552",816,,,,
s__1135,"0,0,1",2,"-0.17, -0.002499938, -0.17","0.17, 0.7375, 0.17","34.0, 73.99999, 34.0",817,,,,
s__1136,"0,0,1",2,"-0.18, 4.017353E-5, -0.33","0.18, 0.831909, 0.33","36.0, 83.18689, 66.0",818,,,,
s__1137,"0,0,1",3,"-0.26, 0.0010717809, -0.26","0.26, 0.317769, 0.26","52.0, 31.669722, 52.0",819,,,,
s__1138,"0,0,1",3,"-0.18, 4.017353E-5, -0.28","0.18, 0.525702, 0.28","36.0, 52.56618, 56.0",820,,,,
s__1139,"0,0,1",4,"-0.08, 0.0, -0.125","0.0800001, 0.429815, 0.125","16.000011, 42.9815, 25.0",821,,,170,
s__1140,"0,0,1",4,"-0.24, 0.0, -0.125","0.24, 0.398184, 0.125","48.0, 39.8184, 25.0",822,,,170,
s__1141,"0,0,1",7,"-0.56994, 2.3841858E-7, -0.34000003","0.56994, 2.5, 0.34000003","113.98799, 249.99998, 68.0",823,,,,
s__1142,"0,0,1",3,"-0.49, 0.0, -0.32","0.49, 2.63, 0.32029396","98.0, 263.0, 64.029396",824,,,"10,11",
s__1143,"0,0,1",3,"-1.02, 0.0, -0.57","1.02, 1.02, 0.57","204.0, 102.00001, 114.0",825,,1,10,
s__1144,"0,0,1",4,"-1.02, 0.0, -0.445","1.02, 1.02, 0.445","204.0, 102.00001, 89.0",826,,1,10,
s__1145,"0,0,1",6,"-1.0, 0.0, -0.515","1.0, 1.27627, 0.515","200.0, 127.62701, 103.0",827,,,11,
s__1146,"0,0,1",6,"-0.39, 0.0, -0.30502003","0.39, 1.02, 0.305005","78.0, 102.0, 61.0025",828,,,10,
s__1147,"0,0,1",3,"-0.59506094, -4.7683716E-7, -0.25","0.59506, 1.865, 0.25","119.0121, 186.50005, 50.0",829,,,,
s__1148,"0,0,1",6,"-0.45, 0.0, -0.315","0.45, 1.37628, 0.315","90.0, 137.62799, 63.0",830,,,10,
